Id,CreationDate,QuestionCount,FirstQuestionDate,AnswerCount,FirstAnswerDate,TotalCount,FirstPostDate
"7361600","2017-01-01 00:10:19","0","","0","","0",""
"7361700","2017-01-01 02:32:37","0","","4","2017-01-01 12:59:22","4","2017-01-01 12:59:22"
"7361800","2017-01-01 04:25:06","5","2017-07-29 13:22:25","3","2018-04-15 09:31:16","8","2017-07-29 13:22:25"
"7361900","2017-01-01 06:01:18","9","2017-01-01 06:10:17","0","","9","2017-01-01 06:10:17"
"7362000","2017-01-01 07:21:05","5","2017-02-25 07:48:56","0","","5","2017-02-25 07:48:56"
"7362100","2017-01-01 08:51:27","0","","5","2017-01-01 14:24:29","5","2017-01-01 14:24:29"
"7362300","2017-01-01 11:09:20","0","","0","","0",""
"7362400","2017-01-01 12:17:59","0","","0","","0",""
"7362500","2017-01-01 13:13:59","0","","0","","0",""
"7362600","2017-01-01 14:14:24","1","2017-01-01 15:44:43","0","","1","2017-01-01 15:44:43"
"7362700","2017-01-01 15:12:01","1","2017-01-01 15:20:53","0","","1","2017-01-01 15:20:53"
"7362800","2017-01-01 16:00:59","0","","0","","0",""
"7362900","2017-01-01 16:50:17","0","","1","2017-01-01 16:50:17","1","2017-01-01 16:50:17"
"7363000","2017-01-01 17:38:39","1","2017-01-01 18:12:06","0","","1","2017-01-01 18:12:06"
"7363100","2017-01-01 18:33:53","0","","0","","0",""
"7363200","2017-01-01 19:27:34","0","","0","","0",""
"7363300","2017-01-01 20:20:14","3","2017-11-13 15:16:08","0","","3","2017-11-13 15:16:08"
"7363400","2017-01-01 21:07:26","0","","1","2017-01-01 21:07:46","1","2017-01-01 21:07:46"
"7363500","2017-01-01 22:10:30","0","","1","2018-09-09 20:37:26","1","2018-09-09 20:37:26"
"7363600","2017-01-01 23:17:54","0","","0","","0",""
"7363700","2017-01-02 00:45:21","0","","0","","0",""
"7363800","2017-01-02 02:10:59","5","2017-01-12 12:22:12","0","","5","2017-01-12 12:22:12"
"7363900","2017-01-02 03:35:01","1","2017-01-02 04:21:07","1","2017-01-02 15:25:31","2","2017-01-02 04:21:07"
"7364000","2017-01-02 04:43:17","3","2019-01-21 05:49:34","0","","3","2019-01-21 05:49:34"
"7364100","2017-01-02 05:44:11","0","","1","2017-01-02 05:54:11","1","2017-01-02 05:54:11"
"7364200","2017-01-02 06:27:42","1","2018-10-26 19:32:17","0","","1","2018-10-26 19:32:17"
"7364300","2017-01-02 07:11:29","0","","0","","0",""
"7364400","2017-01-02 07:50:33","0","","0","","0",""
"7364500","2017-01-02 08:28:57","0","","0","","0",""
"7364600","2017-01-02 09:08:35","0","","0","","0",""
"7364700","2017-01-02 09:39:19","0","","0","","0",""
"7364800","2017-01-02 10:13:40","0","","0","","0",""
"7364900","2017-01-02 10:42:09","4","2017-01-15 13:04:58","0","","4","2017-01-15 13:04:58"
"7365000","2017-01-02 11:11:22","0","","0","","0",""
"7365100","2017-01-02 11:44:31","0","","0","","0",""
"7365300","2017-01-02 12:45:22","0","","0","","0",""
"7365400","2017-01-02 13:08:37","0","","0","","0",""
"7365500","2017-01-02 13:36:24","0","","0","","0",""
"7365600","2017-01-02 14:07:43","0","","0","","0",""
"7365700","2017-01-02 14:38:24","0","","0","","0",""
"7365800","2017-01-02 15:05:06","0","","0","","0",""
"7365900","2017-01-02 15:34:46","0","","0","","0",""
"7366000","2017-01-02 16:04:13","9","2017-01-02 16:36:27","1","2017-08-12 09:16:55","10","2017-01-02 16:36:27"
"7366100","2017-01-02 16:36:37","0","","215","2017-05-25 15:27:49","215","2017-05-25 15:27:49"
"7366200","2017-01-02 17:05:41","0","","0","","0",""
"7366300","2017-01-02 17:32:53","0","","2","2019-01-13 21:57:09","2","2019-01-13 21:57:09"
"7366400","2017-01-02 18:02:34","0","","0","","0",""
"7366600","2017-01-02 19:21:46","39","2017-01-10 18:28:39","5","2017-01-11 00:36:27","44","2017-01-10 18:28:39"
"7366700","2017-01-02 20:00:05","0","","0","","0",""
"7366800","2017-01-02 20:36:23","3","2019-06-27 01:20:56","0","","3","2019-06-27 01:20:56"
"7366900","2017-01-02 21:17:35","5","2017-01-02 21:43:40","0","","5","2017-01-02 21:43:40"
"7367000","2017-01-02 22:03:53","0","","0","","0",""
"7367100","2017-01-02 22:46:17","1","2018-03-31 00:24:48","0","","1","2018-03-31 00:24:48"
"7367200","2017-01-02 23:46:11","0","","0","","0",""
