Id,CreationDate,QuestionCount,FirstQuestionDate,AnswerCount,FirstAnswerDate,TotalCount,FirstPostDate
82244,6/29/2017 17:39,2,7/5/2017 12:38,4,7/5/2017 13:51,6,7/5/2017 12:38
73754,4/19/2017 14:23,1,4/11/2019 19:11,0,,1,4/11/2019 19:11
67494,2/22/2017 0:40,1,10/27/2017 18:16,0,,1,10/27/2017 18:16
87368,8/9/2017 18:26,1,8/9/2017 18:38,0,,1,8/9/2017 18:38
98606,11/29/2017 13:17,1,11/29/2017 13:18,0,,1,11/29/2017 13:18
65456,1/26/2017 6:29,2,1/26/2017 6:45,0,,2,1/26/2017 6:45
67989,3/1/2017 15:47,1,3/1/2017 15:51,0,,1,3/1/2017 15:51
76694,5/16/2017 14:58,1,5/16/2017 15:07,1,5/16/2017 15:14,2,5/16/2017 15:07
79419,6/6/2017 14:33,1,6/6/2017 14:33,0,,1,6/6/2017 14:33
91444,9/15/2017 18:54,2,9/15/2017 19:00,0,,2,9/15/2017 19:00
83246,7/8/2017 18:40,1,9/21/2017 12:13,0,,1,9/21/2017 12:13
94653,10/18/2017 3:03,1,10/19/2017 0:56,0,,1,10/19/2017 0:56
75669,5/7/2017 7:23,2,10/30/2017 5:18,0,,2,10/30/2017 5:18
75466,5/5/2017 13:31,3,6/21/2017 18:13,0,,3,6/21/2017 18:13
92446,9/25/2017 19:00,1,9/25/2017 19:03,0,,1,9/25/2017 19:03
76794,5/17/2017 7:29,2,7/11/2018 18:24,0,,2,7/11/2018 18:24
98188,11/24/2017 12:04,1,11/24/2017 12:35,0,,1,11/24/2017 12:35
74149,4/22/2017 21:48,2,4/22/2017 22:06,3,1/9/2018 0:58,5,4/22/2017 22:06
97401,11/15/2017 21:53,2,11/15/2017 21:53,0,,2,11/15/2017 21:53
98337,11/26/2017 14:28,1,11/26/2017 14:36,0,,1,11/26/2017 14:36
95340,10/24/2017 21:39,4,10/24/2017 22:10,4,11/11/2017 23:54,8,10/24/2017 22:10
73946,4/20/2017 17:45,1,4/20/2017 17:45,0,,1,4/20/2017 17:45
84248,7/18/2017 13:18,1,7/18/2017 13:41,0,,1,7/18/2017 13:41
94092,10/11/2017 19:06,1,10/11/2017 19:10,0,,1,10/11/2017 19:10
101039,12/30/2017 16:35,1,1/18/2018 21:04,0,,1,1/18/2018 21:04
95397,10/25/2017 12:52,1,10/25/2017 16:59,0,,1,10/25/2017 16:59
67763,2/24/2017 21:22,1,2/24/2017 21:55,0,,1,2/24/2017 21:55
91026,9/12/2017 18:48,1,3/13/2019 20:22,0,,1,3/13/2019 20:22
99190,12/5/2017 10:26,1,12/5/2017 10:31,2,12/5/2017 21:34,3,12/5/2017 10:31
89721,9/1/2017 12:45,1,9/1/2017 12:51,0,,1,9/1/2017 12:51
100000,12/14/2017 21:10,1,12/18/2017 16:19,2,12/19/2017 14:55,3,12/18/2017 16:19
89472,8/30/2017 14:06,6,8/31/2017 13:21,2,8/30/2017 18:58,8,8/30/2017 18:58
66787,2/14/2017 15:53,1,2/24/2017 15:50,4,2/14/2017 16:09,5,2/14/2017 16:09
73485,4/17/2017 15:28,5,4/17/2017 15:35,0,,5,4/17/2017 15:35
96399,11/5/2017 22:18,1,11/5/2017 22:22,0,,1,11/5/2017 22:22
72695,4/10/2017 13:19,1,4/10/2017 13:34,1,8/16/2017 12:11,2,4/10/2017 13:34
65098,1/21/2017 23:49,1,1/21/2017 23:51,0,,1,1/21/2017 23:51
79376,6/6/2017 7:23,1,6/6/2017 7:23,0,,1,6/6/2017 7:23
