Id,CreationDate,QuestionCount,FirstQuestionDate,AnswerCount,FirstAnswerDate,TotalCount,FirstPostDate
306400,8/15/2018 12:45,1,8/15/2018 12:56,1,10/1/2018 9:59,2,8/15/2018 12:56
285152,2/13/2018 11:06,2,2/13/2018 11:20,3,2/13/2018 11:36,5,2/13/2018 11:20
293473,4/11/2018 19:48,0,,15,4/11/2018 19:58,15,4/11/2018 19:58
296413,5/7/2018 23:07,0,,1,5/7/2018 23:18,1,5/7/2018 23:18
313393,10/24/2018 7:51,0,,1,10/24/2018 7:53,1,10/24/2018 7:53
290625,3/20/2018 9:34,0,,18,3/20/2018 11:30,18,3/20/2018 11:30
300735,6/16/2018 21:41,2,6/16/2018 21:51,2,6/17/2018 7:22,4,6/16/2018 21:51
310353,9/25/2018 16:32,0,,1,9/25/2018 16:33,1,9/25/2018 16:33
287731,3/5/2018 11:26,4,3/5/2018 11:26,1,6/10/2018 8:44,5,3/5/2018 11:26
296098,5/4/2018 22:33,0,,1,5/4/2018 22:33,1,5/4/2018 22:33
303675,7/17/2018 14:37,0,,1,8/15/2019 22:28,1,8/15/2019 22:28
312909,10/20/2018 4:08,0,,5,10/20/2018 4:29,5,10/20/2018 4:29
291684,3/28/2018 7:57,21,3/28/2018 8:01,2,4/8/2018 22:44,23,3/28/2018 8:01
310184,9/24/2018 9:41,0,,1,9/24/2018 9:47,1,9/24/2018 9:47
310061,9/22/2018 23:40,4,9/22/2018 23:54,1,10/4/2018 20:33,5,9/22/2018 23:54
301571,6/25/2018 18:12,2,6/25/2018 18:17,1,6/26/2018 21:22,3,6/25/2018 18:17
288544,3/12/2018 8:09,0,,1,3/12/2018 8:09,1,3/12/2018 8:09
299782,6/6/2018 19:24,5,6/14/2019 15:52,1,6/15/2019 17:45,6,6/14/2019 15:52
281090,1/14/2018 11:26,0,,1,1/14/2018 11:27,1,1/14/2018 11:27
301402,6/23/2018 18:20,0,,2,6/23/2018 18:41,2,6/23/2018 18:41
283071,1/29/2018 18:22,105,1/29/2018 18:36,22,2/25/2018 21:08,127,1/29/2018 18:36
322066,12/30/2018 12:58,0,,1,12/30/2018 12:58,1,12/30/2018 12:58
310705,9/28/2018 20:08,0,,1,10/30/2018 20:43,1,10/30/2018 20:43
320838,12/18/2018 5:51,0,,6,12/18/2018 5:54,6,12/18/2018 5:54
301903,6/28/2018 19:04,1,6/28/2018 19:51,1,6/29/2018 6:36,2,6/28/2018 19:51
288484,3/11/2018 18:10,1,3/11/2018 18:14,1,3/13/2018 18:41,2,3/11/2018 18:14
282510,1/25/2018 10:41,10,7/27/2018 9:20,1,8/9/2018 14:32,13,7/27/2018 9:20
283572,2/2/2018 7:21,1,5/21/2018 12:53,7,2/2/2018 7:40,8,2/2/2018 7:40
319235,12/12/2018 11:09,2,12/12/2018 11:21,1,12/22/2018 6:27,3,12/12/2018 11:21
279785,1/2/2018 4:04,3,9/10/2018 10:49,1,4/25/2019 15:46,4,9/10/2018 10:49
282902,1/28/2018 12:31,0,,1,1/28/2018 12:31,1,1/28/2018 12:31
303260,7/13/2018 3:58,6,7/13/2018 4:14,2,7/17/2018 4:19,8,7/13/2018 4:14
294349,4/19/2018 7:56,11,4/29/2018 14:28,1,5/2/2018 9:21,12,4/29/2018 14:28
283277,1/31/2018 8:57,5,1/31/2018 8:57,1,11/5/2018 13:09,6,1/31/2018 8:57
298219,5/23/2018 7:58,1,9/20/2018 9:46,28,9/20/2018 13:52,29,9/20/2018 9:46
294143,4/17/2018 15:35,3,5/18/2018 6:07,3,5/20/2018 17:17,6,5/18/2018 6:07
293682,4/13/2018 11:06,0,,47,4/15/2018 8:45,47,4/15/2018 8:45
288727,3/13/2018 12:39,9,3/13/2018 12:40,2,3/14/2018 14:12,11,3/13/2018 12:40
