Id,CreationDate,QuestionCount,FirstQuestionDate,AnswerCount,FirstAnswerDate,TotalCount,FirstPostDate
56774,8/21/2017 15:54,2,9/4/2017 16:09,2,3/6/2018 17:31,4,9/4/2017 16:09
46077,6/3/2017 20:23,2,6/3/2017 20:41,30,6/4/2017 8:08,32,6/3/2017 20:41
63057,10/16/2017 16:05,3,10/16/2017 16:11,1,1/15/2018 23:47,4,10/16/2017 16:11
68204,11/29/2017 20:42,1,11/29/2017 20:49,2,12/1/2017 14:17,3,11/29/2017 20:49
69432,12/11/2017 12:31,3,12/13/2017 14:03,2,12/14/2017 13:38,5,12/13/2017 14:03
30325,2/16/2017 20:14,0,,1,2/16/2017 20:14,1,2/16/2017 20:14
49904,7/1/2017 10:17,9,7/1/2017 10:49,1,5/29/2019 11:30,10,7/1/2017 10:49
39963,4/28/2017 11:25,0,,2,4/28/2017 11:59,2,4/28/2017 11:59
52111,7/20/2017 9:17,0,,1,7/20/2017 9:18,1,7/20/2017 9:18
61898,10/3/2017 20:15,0,,1,10/3/2017 23:05,1,10/3/2017 23:05
40504,5/2/2017 16:13,2,5/2/2017 16:52,1,5/11/2017 4:03,3,5/2/2017 16:52
52406,7/21/2017 17:27,4,7/22/2017 4:17,1,7/23/2017 23:11,5,7/22/2017 4:17
39353,4/25/2017 4:56,0,,2,4/25/2017 5:09,2,4/25/2017 5:09
48058,6/17/2017 0:33,0,,1,12/1/2017 9:33,1,12/1/2017 9:33
58586,9/5/2017 21:49,2,9/5/2017 22:13,2,9/26/2017 16:45,4,9/5/2017 22:13
49930,7/1/2017 17:59,26,7/1/2017 18:15,6,10/26/2017 15:57,32,7/1/2017 18:15
68055,11/28/2017 20:58,1,9/24/2018 23:32,1,9/25/2018 23:19,2,9/24/2018 23:32
59817,9/15/2017 11:38,1,9/16/2017 17:18,2,9/17/2017 1:47,3,9/16/2017 17:18
49220,6/26/2017 17:49,13,6/26/2017 18:04,3,6/28/2017 5:37,16,6/26/2017 18:04
28490,1/24/2017 17:30,0,,1,1/24/2017 17:30,1,1/24/2017 17:30
70488,12/22/2017 8:21,1,12/22/2017 8:46,3,12/24/2017 13:19,4,12/22/2017 8:46
39943,4/28/2017 5:36,0,,5,10/17/2017 0:02,5,10/17/2017 0:02
26910,1/3/2017 23:42,78,1/3/2017 23:45,101,1/28/2017 8:10,181,1/3/2017 23:45
66595,11/17/2017 10:13,0,,1,11/17/2017 10:13,1,11/17/2017 10:13
31722,3/3/2017 6:46,6,1/31/2018 0:44,1,2/7/2018 4:40,7,1/31/2018 0:44
29907,2/13/2017 19:26,0,,1,3/24/2017 19:24,1,3/24/2017 19:24
44557,5/24/2017 17:29,1,5/24/2017 17:45,2,5/24/2017 17:29,3,5/24/2017 17:29
29117,2/1/2017 19:38,2,2/10/2017 16:38,1,2/14/2017 23:51,3,2/10/2017 16:38
64102,10/26/2017 17:19,0,,1,4/22/2018 16:39,1,4/22/2018 16:39
32466,3/10/2017 20:50,1,6/9/2019 15:21,2,6/5/2019 21:22,3,6/5/2019 21:22
27225,1/9/2017 7:34,0,,1,1/9/2017 7:34,1,1/9/2017 7:34
